Flight ID,Demand Type,Runway,WVC,Scheduled,Averaged Actual,Minimum Actual,Maximum Actual,Average Delay [s],,,Flow,Delay,AvDelay,Demand,,
A319,ARRIVAL,27R,LM,1:10:17:17,1:10:21:56,1:10:21:56,1:10:21:56,279,123437,123716,39,279,264.897435897436,40,1,174
A321,ARRIVAL,27R,LM,1:10:18:17,1:10:23:14,1:10:23:14,1:10:23:14,297,123497,123794,38,297,264.526315789474,39,1,175
A320,ARRIVAL,27R,LM,1:10:19:36,1:10:24:32,1:10:24:32,1:10:24:32,296,123576,123872,38,296,266.657894736842,38,0,176
A320,ARRIVAL,27R,LM,1:10:21:24,1:10:25:50,1:10:25:50,1:10:25:50,266,123684,123950,38,266,267.526315789474,39,1,177
A321,ARRIVAL,27R,LM,1:10:22:08,1:10:27:08,1:10:27:08,1:10:27:08,300,123728,124028,38,300,269.368421052632,38,0,178
A321,ARRIVAL,27R,LM,1:10:24:01,1:10:28:26,1:10:28:26,1:10:28:26,265,123841,124106,38,265,269.921052631579,39,1,179
B752,ARRIVAL,27R,H,1:10:25:07,1:10:29:42,1:10:29:42,1:10:29:42,275,123907,124182,38,275,271.657894736842,38,0,180
B772,ARRIVAL,27R,H,1:10:26:15,1:10:31:32,1:10:31:32,1:10:31:32,317,123975,124292,38,317,273.210526315789,38,0,181
A320,ARRIVAL,27R,LM,1:10:28:19,1:10:33:45,1:10:33:45,1:10:33:45,326,124099,124425,38,326,273.973684210526,38,0,182
B738,ARRIVAL,27R,LM,1:10:30:07,1:10:35:03,1:10:35:03,1:10:35:03,296,124207,124503,38,296,274.368421052632,38,0,183
A319,ARRIVAL,27R,LM,1:10:31:24,1:10:36:21,1:10:36:21,1:10:36:21,297,124284,124581,37,297,273.783783783784,37,0,184
B744,ARRIVAL,27R,H,1:10:33:49,1:10:37:37,1:10:37:37,1:10:37:37,228,124429,124657,37,228,273.864864864865,38,1,185
B77W,ARRIVAL,27R,H,1:10:35:09,1:10:39:27,1:10:39:27,1:10:39:27,258,124509,124767,37,258,276.243243243243,38,1,186
B763,ARRIVAL,27R,H,1:10:37:03,1:10:41:17,1:10:41:17,1:10:41:17,254,124623,124877,37,254,277.594594594595,38,1,187
