Flow,Delay,AvDelay,Demand,Delayed Flights,n
44,152,138.545454545455,42,-2,573
44,134,135.886363636364,42,-2,574
44,139,133.840909090909,42,-2,575
44,140,132.136363636364,43,-1,576
44,125,129.977272727273,43,-1,577
44,129,128.181818181818,43,-1,578
44,137,125.522727272727,43,-1,579
44,147,122.454545454545,43,-1,580
44,166,119.386363636364,42,-2,581
44,186,115.613636363636,42,-2,582
44,172,111.386363636364,43,-1,583
44,183,107.477272727273,43,-1,584
44,156,104,42,-2,585
44,166,100.454545454545,43,-1,586
44,184,96.6818181818182,42,-2,587
43,188,94.6511627906977,42,-1,588
43,180,90.2790697674419,41,-2,589
43,180,86.0930232558139,41,-2,590
43,245,81.906976744186,41,-2,591
42,256,78.0238095238095,40,-2,592
42,271,71.9285714285714,40,-2,593
41,252,67.0731707317073,40,-1,594
40,265,62.45,39,-1,595
40,281,55.825,38,-2,596
40,274,48.8,38,-2,597
39,249,43.025641025641,37,-2,598
39,222,37.5384615384615,37,-2,599
38,180,32.6842105263158,37,-1,600
38,187,27.9473684210526,37,-1,601
37,170,23.6486486486486,36,-1,602
37,103,19.0540540540541,36,-1,603
36,10,16.7222222222222,36,0,604
36,12,16.4444444444444,36,0,605
36,0,16.1111111111111,36,0,606
35,13,16.5714285714286,35,0,607
35,0,16.2,35,0,608
35,0,16.3428571428571,35,0,609
35,25,16.3428571428571,35,0,610
35,35,15.6285714285714,35,0,611
34,42,15.0588235294118,34,0,612
33,21,14.2424242424242,33,0,613
32,41,14.03125,32,0,614
32,50,12.75,32,0,615
32,28,11.1875,31,-1,616
31,35,10.6451612903226,31,0,617
30,44,9.83333333333333,30,0,618
29,64,8.6551724137931,29,0,619
28,45,6.67857142857143,28,0,620
27,46,5.25925925925926,27,0,621
26,12,3.69230769230769,26,0,622
25,2,3.36,25,0,623
24,12,3.41666666666667,24,0,624
24,0,2.91666666666667,24,0,625
23,0,3.04347826086957,23,0,626
23,0,3.04347826086957,23,0,627
